date,value
2024-11-21,7510
2024-11-22,7504
2024-11-25,7467
2024-11-26,7479
2024-11-27,7481
2024-11-28,7482
2024-11-29,7475
2024-12-02,7475
2024-12-03,7471
2024-12-04,7462
2024-12-05,7449
2024-12-06,7468
2024-12-09,7446
2024-12-10,7446
2024-12-11,7446
2024-12-12,7446
2024-12-13,7460
2024-12-16,7439
2024-12-17,7444
2024-12-18,7424
2024-12-19,7408
2024-12-20,7377
2024-12-23,7389
2024-12-24,7415
2024-12-25,7413
2024-12-26,7380
2024-12-27,7374
2024-12-30,7365
2024-12-31,7378
2025-01-02,7394
2025-01-03,7380
2025-01-06,7327
2025-01-07,7284
2025-01-08,7275
2025-01-09,7270
2025-01-10,7280
2025-01-13,7300
2025-01-14,7316
2025-01-15,7346
2025-01-16,7367
2025-01-17,7372
2025-01-20,7369
2025-01-21,7359
2025-01-22,7353
2025-01-23,7310
2025-01-24,7309
2025-01-27,7321
2025-02-05,7296
2025-02-06,7302
2025-02-07,7333
2025-02-10,7358
2025-02-11,7339
2025-02-12,7388
2025-02-13,7346
2025-02-14,7346
2025-02-17,7346
2025-02-18,7358
2025-02-19,7368
2025-02-20,7373
2025-02-21,7364
2025-02-24,7339
2025-02-25,7334
2025-02-26,7298
2025-02-27,7315
2025-02-28,7326
2025-03-03,7335
2025-03-04,7335
2025-03-05,7286
2025-03-06,7289
2025-03-07,7287
2025-03-10,7287
2025-03-11,7287
2025-03-12,7253
2025-03-13,7253
2025-03-14,7294
2025-03-17,7262
2025-03-18,7260
2025-03-19,7259
2025-03-20,7245
2025-03-21,7244
2025-03-24,7289
2025-03-25,7322
2025-03-26,7312
2025-03-27,7334
2025-03-28,7341
2025-03-31,7304
2025-04-01,7304
2025-04-02,7304
2025-04-03,7348
2025-04-07,7266
2025-04-08,7243
2025-04-09,7184
2025-04-10,7184
2025-04-11,7184
2025-04-14,7184
2025-04-15,7244
2025-04-16,7208
2025-04-17,7205
2025-04-18,7222
2025-04-21,7216
2025-04-22,7181
2025-04-23,7194
2025-04-24,7180
2025-04-25,7192
2025-04-28,7202
2025-04-29,7177
2025-04-30,7148
2025-05-06,7106
2025-05-07,7127
2025-05-08,7089
2025-05-09,7085
2025-05-12,7077
2025-05-13,7122
2025-05-14,7210
2025-05-15,7248
2025-05-16,7248
2025-05-19,7137
2025-05-20,7119
2025-05-21,7114
2025-05-22,7100
2025-05-23,7046
2025-05-26,7016
2025-05-27,6976
2025-05-28,6976
2025-05-29,6973
2025-05-30,6945
2025-06-03,6975
2025-06-04,6979
2025-06-05,6990
2025-06-06,6983
2025-06-09,7000
2025-06-10,7014
2025-06-11,7016
2025-06-12,7026
2025-06-13,7076
2025-06-17,7128
2025-06-18,7210
2025-06-19,7253
2025-06-20,7278
2025-06-23,7249
2025-06-24,7145
2025-06-25,7081
2025-06-26,7100
2025-06-27,7126
2025-06-30,7109
2025-07-01,7055
2025-07-02,7064
2025-07-03,7086
2025-07-04,7089
2025-07-07,7057
2025-07-08,7051
2025-07-09,7057
2025-07-10,7096
2025-07-11,7066
2025-07-14,7051
2025-07-15,7036
2025-07-16,7014
2025-07-17,7010
2025-07-18,7022
2025-07-21,7075
2025-07-22,7114
2025-07-23,7126
2025-07-24,7149
2025-07-25,7205
2025-07-28,7147
2025-07-29,7147
2025-07-30,7165
2025-07-31,7138
2025-08-01,7113
2025-08-04,7069
2025-08-05,7066
2025-08-06,7084
2025-08-07,7074
2025-08-08,7066
2025-08-11,7076
2025-08-12,7098
2025-08-13,7088
2025-08-14,7071
2025-08-15,7062
2025-08-18,7036
2025-08-19,7002
2025-08-20,6986
2025-08-21,7018
2025-08-22,7006
2025-08-25,7019
2025-08-26,7026
2025-08-27,6987
2025-08-28,6959
2025-08-29,6941
2025-09-01,6904
2025-09-02,6907
2025-09-03,6915
2025-09-04,6876
2025-09-05,6887
2025-09-08,6881
2025-09-09,6868
2025-09-10,6867
2025-09-11,6852
2025-09-12,6852
2025-09-15,6882
2025-09-16,6922
2025-09-17,6916
2025-09-18,6886
2025-09-19,6846
2025-09-22,6821
2025-09-23,6782
2025-09-24,6806
2025-09-25,6827
2025-09-26,6830
2025-09-29,6823
2025-09-30,6801
2025-10-09,6684
2025-10-10,6664
2025-10-13,6639
2025-10-14,6551
2025-10-15,6519
2025-10-16,6524
2025-10-17,6508
2025-10-20,6525
2025-10-21,6507
2025-10-22,6591
2025-10-23,6639
2025-10-24,6643
2025-10-27,6644
2025-10-28,6636
2025-10-29,6627
2025-10-30,6630
2025-10-31,6586
2025-11-03,6557
2025-11-04,6525
2025-11-05,6467
2025-11-06,6411
2025-11-07,6427
2025-11-10,6426
2025-11-11,6422
2025-11-12,6411
2025-11-13,6407
2025-11-14,6490
2025-11-17,6465
2025-11-18,6427
2025-11-19,6422
2025-11-20,6396
